File,Bpp,D1_MSEF,D1_PSNR,D2_MSEF,D2_PSNR,Chamfer
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000022.bin,4.237656514,534.324,67.0356,62.6111,76.3471,0.019521992
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000023.bin,4.225045878,532.492,67.0505,63.6983,76.2724,0.019461692
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000024.bin,4.234403307,533.395,67.0431,64.3984,76.2249,0.019465103
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000025.bin,4.342006051,531.968,67.0548,65.8147,76.1304,0.019443178
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000026.bin,4.289541497,530.277,67.0686,65.874,76.1265,0.019421962
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000027.bin,4.356976636,535.045,67.0297,66.8966,76.0596,0.019517886
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000028.bin,4.37041162,534.125,67.0372,67.0855,76.0473,0.019532589
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000029.bin,4.379525535,535.01,67.03,67.7808,76.0026,0.019528551
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000030.bin,4.397585887,530.639,67.0656,66.0133,76.1173,0.019456343
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000031.bin,4.341454394,531.759,67.0565,67.6695,76.0097,0.019468664
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000032.bin,4.347665109,536.435,67.0185,69.9357,75.8667,0.01956826
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000033.bin,4.424562301,529.743,67.073,69.978,75.864,0.019435438
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000034.bin,4.383900642,533.634,67.0412,69.947,75.866,0.019530552
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000035.bin,4.383887136,532.143,67.0534,68.6756,75.9456,0.019478954
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000036.bin,4.333225434,530.318,67.0683,68.5642,75.9527,0.019453727
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000037.bin,4.364603694,530.984,67.0628,67.9672,75.9906,0.019431988
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000038.bin,4.380855066,537.337,67.0112,68.5802,75.9516,0.019612668
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000039.bin,4.343102315,536.864,67.015,70.9132,75.8064,0.019581773
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000040.bin,4.334709366,534.089,67.0375,70.2662,75.8462,0.019518724
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000041.bin,4.394945582,532.624,67.0494,71.8037,75.7522,0.019477015
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000042.bin,4.354986613,530.768,67.0646,70.3803,75.8391,0.019454522
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000043.bin,4.380682407,536.261,67.0199,71.4135,75.7758,0.019547319
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000044.bin,4.413831425,535.06,67.0296,71.3479,75.7798,0.019542136
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000045.bin,4.41075159,531.168,67.0613,69.0128,75.9243,0.019429443
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000046.bin,4.467519134,536.989,67.014,70.0491,75.8596,0.019573317
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000047.bin,4.500692755,535.691,67.0245,71.019,75.7999,0.01953658
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000048.bin,4.557665629,533.349,67.0435,69.5075,75.8933,0.019452952
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000049.bin,4.651600445,528.191,67.0857,69.3727,75.9017,0.019372332
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000050.bin,4.681566327,532.717,67.0487,73.3012,75.6625,0.019493052
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000051.bin,4.771806004,537.183,67.0124,74.8209,75.5734,0.019557287
/home/haoran/Dataset/data_odometry_velodyne/dataset/sequences/12/velodyne/000052.bin,4.862006079,536.655,67.0167,77.5455,75.4181,0.019562442
